gene_id,Satrom-mRNA-15mT_CTTGTA_L003_001
1700040L02Rik,194
1700041A01Rik,6
1700041B01Rik,4
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,7
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,0
1700047E10Rik,27
1700047G03Rik,0
1700047I17Rik2,19
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,5
1700048O14Rik,0
1700048O20Rik,1029
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,2
1700049G17Rik,412
1700049J03Rik,7
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,93
1700052N19Rik,2936
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,2
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,30
1700055N04Rik,0
1700056E22Rik,37
1700057G04Rik,7
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,2
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,1
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,80
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,3
1700063H04Rik,4
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,6
1700065D16Rik,1
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,36
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,782
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,34
1700067P10Rik,3
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,0
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,2
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,11
1700080G18Rik,18
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,2
1700084F23Rik,0
1700084J12Rik,1
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,282
1700086P04Rik,9
1700087I21Rik,115
1700087M22Rik,0
1700088E04Rik,2
1700091H14Rik,0
1700092C02Rik,1
1700092C10Rik,0
1700092E19Rik,2
1700092K14Rik,0
1700092M07Rik,15
1700093K21Rik,2
1700094D03Rik,172
1700094J05Rik,1
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,2
1700095J12Rik,0
1700096J18Rik,3
1700096K18Rik,23
1700096P03Rik,0
1700097N02Rik,2
1700099I09Rik,11
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,99
1700101G07Rik,0
1700101I11Rik,16
1700101O22Rik,0
1700102H20Rik,9
1700102J08Rik,0
1700102P08Rik,19
1700104L18Rik,0
1700105P06Rik,2
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,0
1700108N06Rik,0
1700109G14Rik,0
1700109G15Rik,0
1700109H08Rik,104
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,0
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,2
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,0
1700112J05Rik,3
1700112J16Rik,2
1700112K13Rik,0
1700112N08Rik,3
1700113A16Rik,33
1700113B09Rik,0
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,3
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,42
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,0
1700122E12Rik,14
1700122H20Rik,1
1700122O11Rik,0
1700123I01Rik,1
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,72
1700123O12Rik,0
1700123O20Rik,4602
1700123O21Rik,0
1700124L16Rik,5
1700124M09Rik,0
1700125G02Rik,0
1700125G22Rik,0
1700125H03Rik,5
1700125H20Rik,5
1700126H18Rik,0
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,0
1810008I18Rik,0
1810009A15Rik,2
1810009J06Rik,0
1810010D01Rik,0
1810010H24Rik,67
1810010K12Rik,0
1810011H11Rik,114
1810011O10Rik,0
1810012K08Rik,22
1810012K16Rik,10
1810013A23Rik,0
1810013D15Rik,5
1810013L24Rik,8536
1810014B01Rik,1558
1810018F18Rik,0
1810019D21Rik,4
1810019N24Rik,8
1810020O05Rik,2
1810021B22Rik,84
1810022K09Rik,587
1810024B03Rik,22
1810026B05Rik,426
1810026J23Rik,5185
1810030O07Rik,3623
1810032O08Rik,1547
1810034E14Rik,152
1810035K13Rik,0
1810037I17Rik,1103
1810041H14Rik,19
1810041L15Rik,2
1810043G02Rik,230
1810043H04Rik,634
1810044D09Rik,270
1810046K07Rik,28706
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,877
1810058I24Rik,1823
1810062G17Rik,165
1810062O18Rik,20
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,28
2010001A14Rik,148
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,2
2010003K11Rik,0
2010005H15Rik,0
2010009K17Rik,0
2010010A06Rik,0
2010012O05Rik,535
2010016I18Rik,13
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2879
2010107G12Rik,31
2010107G23Rik,2
2010109A12Rik,16
2010109I03Rik,79
2010110K18Rik,61
2010111I01Rik,389
2010203P06Rik,0
2010204K13Rik,348
2010300C02Rik,12
2010300F17Rik,0
2010308F09Rik,10
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,189
2010320O07Rik,0
2200002D01Rik,3
2200002J24Rik,136
2210008F06Rik,7
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,754
2210016F16Rik,64
2210016L21Rik,1106
2210018M11Rik,3361
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,0
2210404O09Rik,0
2210406O10Rik,18
2210407C18Rik,0
2210408F21Rik,61
2210408I21Rik,578
2210409D07Rik,0
2210409E12Rik,1
2210414B05Rik,9
2210416O15Rik,0
2210417A02Rik,87
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,2
2300009A05Rik,426
2310001H17Rik,205
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,1604
2310003N18Rik,0
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,6
2310007L24Rik,14
2310008N11Rik,1
2310009A05Rik,534
2310009B15Rik,123
2310010J17Rik,75
2310011J03Rik,1450
2310014F06Rik,0
2310014L17Rik,380
2310015A10Rik,767
2310015A16Rik,0
2310015B20Rik,0
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,9
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,3427
2310022B05Rik,2233
2310026I22Rik,0
2310030A07Rik,0
2310030G06Rik,0
2310033P09Rik,720
2310034C09Rik,0
2310034G01Rik,47
2310034O05Rik,1
2310034P14Rik,13
2310035C23Rik,3580
2310036O22Rik,2431
2310039H08Rik,512
2310039L15Rik,0
2310040G24Rik,7
2310043L19Rik,0
2310043O21Rik,2
2310045N01Rik,979
2310047D07Rik,17
2310047M10Rik,707
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,2291
2310057N15Rik,0
2310061I04Rik,297
2310061J03Rik,4
2310061N02Rik,0
2310065F04Rik,10
2310067B10Rik,2742
2310067E19Rik,0
2310068J16Rik,8
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,135
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,3099
2410003L11Rik,0
2410004B18Rik,3351
2410004I01Rik,12
2410004N09Rik,827
2410004P03Rik,0
2410006H16Rik,9238
2410007B07Rik,0
2410012E07Rik,65
2410012M07Rik,0
2410015M20Rik,2521
2410016O06Rik,1195
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,458
2410021H03Rik,0
2410022M11Rik,107
2410088K16Rik,0
2410089E03Rik,3964
2410114N07Rik,0
2410124H12Rik,0
2410127L17Rik,1270
2410131K14Rik,1375
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,242
2500004C02Rik,123
2510002D24Rik,0
2510003B16Rik,1
2510003E04Rik,2897
2510009E07Rik,2
2510039O18Rik,1177
2610001J05Rik,1910
2610002J02Rik,1102
2610002M06Rik,1992
2610005L07Rik,522
2610008E11Rik,1129
2610015P09Rik,2070
2610016A17Rik,0
2610020C07Rik,148
2610020H08Rik,529
2610027F03Rik,0
2610027K06Rik,4
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,3
2610035D17Rik,919
2610035F20Rik,58
2610036A22Rik,935
2610037D02Rik,710
2610042L04Rik,0
2610044O15Rik8,479
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,1
2610206C17Rik,32
2610300M13Rik,0
2610301B20Rik,2430
2610305D13Rik,279
2610306M01Rik,89
2610307P16Rik,2
2610316D01Rik,0
2610318N02Rik,880
2610507B11Rik,13882
2610507I01Rik,656
2610524H06Rik,1341
2610528A11Rik,3
2610528J11Rik,0
2700012I20Rik,67
2700029M09Rik,5806
2700038G22Rik,360
2700046A07Rik,0
2700046G09Rik,54
2700049A03Rik,2355
2700054A10Rik,39
2700060E02Rik,8302
2700062C07Rik,1729
2700068H02Rik,4
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,3885
2700089E24Rik,5114
2700089I24Rik,0
2700094K13Rik,2681
2700097O09Rik,476
2700099C18Rik,486
2810001G20Rik,214
2810002D19Rik,572
2810004N23Rik,7125
2810006K23Rik,1171
2810007J24Rik,0
2810008D09Rik,244
2810013P06Rik,169
2810021J22Rik,524
2810025M15Rik,3324
2810029C07Rik,83
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,110
2810047C21Rik1,0
2810049E08Rik,0
2810403A07Rik,3788
2810403D21Rik,274
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,2
2810408A11Rik,0
2810408B13Rik,7
2810408I11Rik,485
2810408M09Rik,767
2810410L24Rik,0
2810416G20Rik,62
2810417H13Rik,5655
2810428I15Rik,667
2810429I04Rik,321
2810433D01Rik,0
2810442N19Rik,46
2810454H06Rik,0
2810459M11Rik,2
2810468N07Rik,2
2810471M01Rik,0
2810474O19Rik,1
2900005J15Rik,20
2900008C10Rik,30
2900009J06Rik,3
2900011O08Rik,0
2900026A02Rik,3204
2900040C04Rik,0
2900041M22Rik,40
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,8
2900076A07Rik,102
2900079G21Rik,0
2900089D17Rik,383
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,11608
3000002C10Rik,91
3010001F23Rik,0
3010003L21Rik,9
3010026O09Rik,2005
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,958
3110002H16Rik,1210
3110007F17Rik,7
3110009E18Rik,70
3110009F21Rik,0
3110009M11Rik,0
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,1434
3110043O21Rik,2174
3110045C21Rik,46
3110052M02Rik,244
3110053B16Rik,0
3110056K07Rik,139
3110057O12Rik,725
3110062M04Rik,256
3110070M22Rik,52
3110079O15Rik,6
3110082I17Rik,2533
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,0
3300002A11Rik,0
3300002I08Rik,193
3300002P13Rik,0
3300005D01Rik,396
3425401B19Rik,3437
3632451O06Rik,0
3632454L22Rik,11
3830403N18Rik,3145
3830406C13Rik,919
3830408C21Rik,98
3830417A13Rik,2
3830432H09Rik,4
3930402G23Rik,4
4430402I18Rik,11
4631405J19Rik,0
4631405K08Rik,0
4632404H12Rik,111
4632415L05Rik,961
4632427E13Rik,5
4632428C04Rik,2
4632428N05Rik,1427
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,52
4732440D04Rik,42
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,23
4732490B19Rik,0
4732491K20Rik,73
4831407H17Rik,8
4831440D22Rik,2
4831440E17Rik,26
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,64
4833418N02Rik,4
4833419F23Rik,114
4833420G17Rik,1814
4833422C13Rik,4
4833422M21Rik,0
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,0
4833438C02Rik,64
4833439L19Rik,2719
4833447I15Rik,45
4833447P13Rik,39
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,0
4921507L20Rik,5
4921507P07Rik,4
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,0
4921511C10Rik,4
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,0
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,14
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,1085
4921524L21Rik,0
4921525O09Rik,4
4921528I07Rik,3
4921529L05Rik,2
4921530L21Rik,0
4921531C22Rik,67
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,132
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,73
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,12
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,888
4930402K13Rik,0
4930403D09Rik,7
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,4
4930404I05Rik,41
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,16
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,2
4930405L22Rik,0
4930405O22Rik,6
4930406D18Rik,2
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,76
4930407I19Rik,0
4930412B13Rik,1
4930412C18Rik,2
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,12
4930412O13Rik,0
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,1015
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,1
4930415F15Rik,11
4930415L06Rik,0
4930415O20Rik,3
4930417H01Rik,1
4930417O13Rik,2
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,395
4930426I24Rik,37
4930426L09Rik,10
4930427A07Rik,397
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,0
4930428N03Rik,0
4930428O21Rik,56
4930429B21Rik,9
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,0
4930429P21Rik,5
4930430A15Rik,1
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,14
4930431F10Rik,0
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,0
4930432E11Rik,6
4930432J09Rik,0
4930432K21Rik,57
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,0
4930434B07Rik,10
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,0
4930441J16Rik,0
4930442E04Rik,0
4930442J19Rik,0
4930442L01Rik,0
4930443O20Rik,0
4930444A19Rik,5
4930444F02Rik,0
4930444G20Rik,1
4930444M15Rik,0
4930444P10Rik,0
4930445E18Rik,8
4930445N18Rik,29
4930447A16Rik,0
4930447C04Rik,0
4930447F24Rik,9
4930447J18Rik,0
4930447K03Rik,1
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,0
4930451G09Rik,76
4930451I11Rik,0
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,6
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,4825
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,15
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,34
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,0
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930465K10Rik,2
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,1
4930469K13Rik,23
4930470H14Rik,0
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,0
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,0
4930473A02Rik,26
4930473H19Rik,25
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,2
4930477N07Rik,4
4930478L05Rik,8
4930478P22Rik,0
4930479D17Rik,0
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,552
4930480M12Rik,0
4930481A15Rik,195
4930482G09Rik,0
4930483J18Rik,0
4930483K19Rik,0
4930483O08Rik,0
4930484H19Rik,1
4930486F22Rik,0
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,7
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,16
4930500H12Rik,0
4930500J02Rik,129
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,34
4930502E09Rik,1
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,1
4930503E14Rik,15
4930503E24Rik,0
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,4381
4930503O07Rik,2
4930504C09Rik,1
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,2
4930505N22Rik,0
4930505O20Rik,0
4930506A18Rik,3
4930506C21Rik,106
4930506M07Rik,3162
4930507D05Rik,5
4930507D10Rik,0
4930509E16Rik,658
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,0
4930512B01Rik,2
4930512H18Rik,0
4930512J16Rik,30
4930513D17Rik,1
4930513L16Rik,2
4930513N10Rik,116
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,38
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,0
4930517M08Rik,0
4930517O19Rik,30
4930518F22Rik,2
4930518J21Rik,0
4930518P08Rik,0
4930519D14Rik,0
4930519F09Rik,0
4930519F16Rik,0
4930519F24Rik,0
4930519G04Rik,0
4930519H02Rik,0
4930520O04Rik,32
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,678
4930522O17Rik,0
4930522P08Rik,19
4930523C07Rik,185
